"Category","RGS","AC","PValue","Bonferroni"
"Signaling: phosphatase",96,196,1.56683850333264e-50,1.67651719856592e-48
"Transmembrane protein: unassigned",252,1692,7.31984302296922e-40,7.83223203457706e-38
"Unassigned",637,6343,1.2998889570554e-38,1.39088118404928e-36
"Cytoskeleton: microtubule",67,128,2.43893728118177e-37,2.60966289086449e-35
"Major sperm protein",30,31,3.99844655744065e-23,4.2783378164615e-21
"Signaling: Y kinase",30,73,1.78911990783237e-15,1.91435830138064e-13
"Extracellular material: collagen",28,184,2.63018214559758e-06,0.000281429489578941
