"Category","RGS","AC","PValue","Bonferroni"
"Unassigned: regulated by multiple stresses",414,1707,3.72526040731547e-114,5.77415363133898e-112
"Cytoskeleton: microtubule: tau tubulin kinase",64,74,2.66119294629232e-45,4.1248490667531e-43
"Transmembrane protein: unassigned",252,1692,7.31984302296922e-40,1.13457566856023e-37
"Signaling: phosphatase: Y ",56,90,1.76499652919701e-34,2.73574462025537e-32
"Major sperm protein",30,31,3.99844655744065e-23,6.19759216403301e-21
"Signaling: phosphatase: unassigned",39,98,3.13178686914077e-19,4.85426964716819e-17
"Signaling: Y kinase",30,73,1.78911990783237e-15,2.77313585714017e-13
"Extracellular material: collagen",28,184,2.63018214559758e-06,0.000407678232567625
"Unassigned: membrane spanning domain",29,210,9.4828747952654e-06,0.00146984559326614
