"Category","RGS","AC","PValue","Bonferroni"
"Unassigned",637,6343,1.2998889570554e-38,3.50970018404958e-37
"Cytoskeleton",81,371,3.65773803205288e-23,9.87589268654278e-22
"Major sperm protein",30,31,3.99844655744065e-23,1.07958057050898e-21
"Signaling",159,1188,2.14790413116758e-22,5.79934115415247e-21
"Transmembrane protein",258,3200,8.28551121012614e-10,2.23708802673406e-08
