"","Category","RGS","AC","PValue"
"3","Ribosome",3,244,0.0040133548105711
"1","Metabolism",6,1601,0.0190416760602376
"5","Stress response",4,833,0.0230819686382168
"8","Unassigned",15,6343,0.0254203329459061
"7","Transmembrane transport",2,901,0.307883628090866
"4","Signaling",2,1188,0.431460861232868
"6","Transmembrane protein",3,3200,0.74403072566745
"2","Non-coding RNA",2,9535,0.999674494033718
