"Category","RGS","AC","PValue","Bonferroni"
"Metabolism: lipid: binding",5,67,4.87388845786181e-08,7.31083268679271e-07
"Unassigned: regulated by multiple stresses",11,1707,3.30199558821021e-05,0.000495299338231531
"Ribosome: subunit",3,92,0.000260139134098658,0.00390208701147987
