lib_name,group
T_SLWA_N2A,Cond1	
T_SLWA_N2B,Cond1	
T_SLWA_N2C,Cond1
T_SLWA_N2D,Cond1
T_SLWA_DVE1A,Cond2
T_SLWA_DVE1B,Cond2	
T_SLWA_DVE1C,Cond2
T_SLWA_DVE1D,Cond2
