"Category","RGS","AC","PValue","Bonferroni"
"Extracellular material: collagen",26,184,2.26118062196247e-23,9.94919473663487e-22
"Metabolism: lipid",19,526,5.10026157356964e-08,2.24411509237064e-06
"Stress response: detoxification",11,206,8.16349763348015e-07,3.59193895873127e-05
"Metabolism: short chain dehydrogenase",5,42,2.41432830611357e-05,0.00106230445468997
"Stress response: pathogen",8,192,0.000128495501442506,0.00565380206347026
"Muscle function",5,62,0.000134566852579192,0.00592094151348445
