"Category","RGS","AC","PValue","Bonferroni"
"Extracellular material: collagen",26,184,2.26118062196247e-23,1.44715559805598e-21
"Unassigned: regulated by multiple stresses",40,1707,2.18538804124863e-09,1.39864834639912e-07
"Stress response: detoxification: CYP",8,82,3.71501942773909e-07,2.37761243375302e-05
"Metabolism: short chain dehydrogenase",5,42,2.41432830611357e-05,0.00154517011591268
"Muscle function",5,62,0.000134566852579192,0.00861227856506829
