"Category","RGS","AC","PValue","Bonferroni"
"Stress response: C-type Lectin",18,256,1.20843840309052e-12,7.00894273792502e-11
"Stress response: pathogen",14,192,2.13389563964559e-10,1.23765947099444e-08
"Stress response: detoxification",14,206,5.03935336338156e-10,2.9228249507613e-08
"Proteolysis general: cysteine",5,41,1.38006109759207e-05,0.000800435436603401
"Lysosome: acid phosphatase",4,31,8.41301939114084e-05,0.00487955124686169
"Metabolism: lipid",13,526,9.32258357353285e-05,0.00540709847264905
"Proteolysis general: aspartate",4,33,0.000104997077761737,0.00608983051018075
"Cytoskeleton: intermediate filament protein",3,12,0.000122254418981146,0.00709075630090647
