"Category","RGS","AC","PValue","Bonferroni"
"Stress response",51,833,4.70601374085421e-29,9.88262885579384e-28
"Proteolysis general",18,394,9.04146754219196e-10,1.89870818386031e-08
"Metabolism",24,1601,0.000414051943825256,0.00869509082033038
